"","ADDRESSS","name","lat","long","accuracy","format_address"
"2291","1223 ASTORIA BOULEVARD 11102","ASTOR BAKE SHOP",40.7722612,40.7722612,"street_address","12-23 Astoria Blvd, Long Island City, NY 11102, USA"
"2292","1223 AVENUE U 11229","BAKU",40.5986905,40.5986905,"premise","1223 Avenue U, Brooklyn, NY 11229, USA"
"2293","1223 BEDFORD AVE 11216","STOP TIME",40.6815268,40.6815268,"street_address","1223 Bedford Ave, Brooklyn, NY 11216, USA"
"2294","1223 JACKSON AVE 11101","BIEROCRACY",40.7440242,40.7440242,"premise","12-23 Jackson Ave, Long Island City, NY 11101, USA"
"2295","1223 QUENTIN ROAD 11229","SUNFLOWER CAFE",40.6082417,40.6082417,"street_address","1223 Quentin Rd, Brooklyn, NY 11229, USA"
"2296","1224 LIBERTY AVENUE 11208","CITY LINE PIZZA & PASTA",40.6788957,40.6788957,"premise","1224 Liberty Ave, Brooklyn, NY 11208, USA"
"2297","1224 MYRTLE AVENUE 11221","ZEFES MEXICAN RESTAURANT",40.6975036,40.6975036,"premise","1224 Myrtle Ave, Brooklyn, NY 11221, USA"
"2298","1224 SURF AVE 11224","LUNATICS ICE CREAM PARLOR",40.57531,40.57531,"street_address","1224 Surf Ave, Brooklyn, NY 11224, USA"
"2299","1225 1 AVENUE 10021","DUNKIN' DONUTS, BASKIN ROBBINS",40.7642138,40.7642138,"street_address","1225 1st Avenue, New York, NY 10065, USA"
"2300","1225 FLUSHING AVENUE 11237","NEALTICAN DELI ANTOJITOS MEXICANOS",40.7080236,40.7080236,"premise","1225 Flushing Ave, Brooklyn, NY 11237, USA"
"2301","1226 FOREST AVENUE 10310","COOKIE JAR",40.6261678,40.6261678,"premise","1226 Forest Ave, Staten Island, NY 10310, USA"
"2302","1226 LEXINGTON AVENUE 10028","LEXINGTON CANDY SHOP",40.7774954,40.7774954,"premise","1226 Lexington Ave, New York, NY 10028, USA"
"2303","1226 SECOND AVENUE 10065","PRIMOLA RESTAURANT",40.7638675,40.7638675,"premise","1226 2nd Ave, New York, NY 10065, USA"
"2304","1226 SOUTHERN BOULEVARD 10459","LUKE'S PIZZA",40.829339,40.829339,"street_address","1226 Southern Blvd, Bronx, NY 10459, USA"
"2305","1227 150 STREET 11357","MR. POLLO II",40.7900079,40.7900079,"premise","12-27 150th St, Whitestone, NY 11357, USA"
"2306","1227 150TH ST 11357","",40.7900079,40.7900079,"premise","12-27 150th St, Whitestone, NY 11357, USA"
"2307","1227 BEDFORD AVE 11216","CASTILLO RESTAURANT",40.6812308,40.6812308,"premise","1227 Bedford Ave, Brooklyn, NY 11216, USA"
"2308","1227 NOSTRAND AVENUE 11225","IMMACULEE BAKERY & RESTAURANT",40.6572861,40.6572861,"premise","1227 Nostrand Ave, Brooklyn, NY 11225, USA"
"2309","1228 2ND AVE 10065","BAGEL EXPRESS11",40.7639097,40.7639097,"street_address","1228 2nd Ave, New York, NY 10065, USA"
"2310","1228 FLATBUSH AVENUE 11226","EL RANCHITO POBLANO RESTAURANT",40.6401811,40.6401811,"premise","1228 Flatbush Ave, Brooklyn, NY 11226, USA"
"2311","1228 LEXINGTON AVENUE 10028","TAL BAGELS",40.7777403,40.7777403,"street_address","1228 Lexington Ave, New York, NY 10028, USA"
"2312","1228 MADISON AVE 10128","VIA QUADRONNO",40.7825765,40.7825765,"street_address","1228 Madison Ave, New York, NY 10128, USA"
"2313","1229 150TH ST 11357","CHERRY VALLEY DELI",40.7899505,40.7899505,"premise","12-29 150th St, Whitestone, NY 11357, USA"
"2314","1229 1ST AVE 10065","GREEK EATS",40.7644142,40.7644142,"premise","1229 1st Avenue, New York, NY 10065, USA"
"2315","1229 BOARDWALK 11224","TOM'S RESTAURANT",40.5730987,40.5730987,"street_address","1229 Riegelmann Boardwalk, Brooklyn, NY 11224, USA"
"2316","1229 FIRST AVENUE 10065","BAGEL WORKS",40.7644142,40.7644142,"premise","1229 1st Avenue, New York, NY 10065, USA"
"2317","1229 FRANKLIN AVE 10456","RED HOUSE",40.830718,40.830718,"premise","1229 Franklin Ave, Bronx, NY 10456, USA"
"2318","123 1 AVENUE 10003","THE ORGANIC GRILL",40.7273662,40.7273662,"premise","123 1st Avenue, New York, NY 10003, USA"
"2319","123 4 AVENUE 10003","THINK COFFEE",40.7329659,40.7329659,"premise","123 4th Ave, New York, NY 10003, USA"
"2320","123 ALLEN ST 10002","CHILIS INDIAN CUISINE",40.7198501,40.7198501,"premise","123 Allen St, New York, NY 10002, USA"
"2321","123 ALLEN STREET 10002","ANTLER BEER & WINE DISPENSARY",40.7198501,40.7198501,"premise","123 Allen St, New York, NY 10002, USA"
"2322","123 AVENUE U 11223","SWEET HEART LOVELY BAKERY",40.596455,40.596455,"street_address","123 Avenue U, Brooklyn, NY 11223, USA"
"2323","123 BRIGHTON BEACH AVENUE 11235","ROCCO'S PIZZERIA",40.5766248,40.5766248,"premise","123 Brighton Beach Ave, Brooklyn, NY 11235, USA"
"2324","123 COURT ST 11201","RED MANGO",40.6900491,40.6900491,"street_address","123 Court St, Brooklyn, NY 11201, USA"
"2325","123 E 110TH ST 10029","NOCCIOLA PIZZERIA",40.7952258,40.7952258,"street_address","123e E 110th St, New York, NY 10029, USA"
"2326","123 E 7TH ST 10009","BUTTER LANE",40.7264815,40.7264815,"premise","123 E 7th St, New York, NY 10009, USA"
"2327","123 EAST   18 STREET 10003","PAUL & JIMMY'S RESTAURANT",40.7367659,40.7367659,"premise","123 E 18th St, New York, NY 10003, USA"
"2328","123 EAST   24 STREET 10010","THE PIT AT PEOPLES IMPROV THEATER",40.7405658,40.7405658,"street_address","123 E 24th St, New York, NY 10010, USA"
"2329","123 EAST 7TH STREET 10009","tea drunk",40.7264815,40.7264815,"premise","123 E 7th St, New York, NY 10009, USA"
