"ADDRESSS" "name"
"363" "403 AMSTERDAM AVE 10024" "SABA'S PIZZA"
"364" "403 CHURCH AVENUE 11218" "SUPER 403 CHINESE RESTAURANT"
"365" "403 EAST   12 STREET 10009" "HEARTH"
"366" "403 JERSEY ST 10301" "WANG JIANG RESTAURANT"
"367" "403 W 43RD STREET 10036" "BEA"
"368" "4030 149TH PL 11354" "YA SHI RESTAURANT"
"369" "4030 162ND ST 11358" "PARAISO TROPICAL DE LOS CHOLADOS"
"370" "4030 82 STREET 11373" "LAS AMERICAS BAKERY"
"371" "4030 BROADWAY 10032" "DUNKIN' DONUTS"
"372" "4030 UNION STREET 11354" "CANAAN BAKERY"
"373" "4030 WHITE PLAINS ROAD 10466" "MANGO'S RESTAURANT & CATERING"
"374" "4031 162ND ST 11358" "BOOMERANG"
"375" "4032 10 AVENUE 10034" "NUEVO SABOR RESTAURANT"
"376" "4032 149TH PL 11354" "COKIRI TWO"
"377" "4032 NATIONAL ST 11368" "LETICIAS RESTAURANT"
"378" "4033 EAST TREMONT AVENUE 10465" "TOMMY'S PIZZA"
"379" "4033 MAIN ST 11354" "7TH MANSION"
"380" "4034 EAST TREMONT AVENUE 10465" "TOSCA MARQUEE"
"381" "403416 2ND ST 11358" "STEVE'S COFFEE SHOP"
"382" "4035 21 STREET 11101" "BIG NY FRIED CHICKEN"
"383" "4035 BROADWAY 10032" "COMO PIZZA"
"384" "4036 162 STREET 11358" "FRATELLI PIZZA"
"385" "4036 82ND ST 11373" ""
"386" "40364040 NATIONAL STREET 11368" "TULCINGO RESTAURANT"
"387" "4037 162 STREET 11358" "LA AMISTAD BAKERY"
"388" "4038 E TREMONT AVE 10465" "TOSCA CAFE"
"389" "404 8TH AVE 10001" "GARDENIA"
"390" "404 BROADWAY 10013" "CIPOTLE MEXICAN GRILL"
"391" "404 CHURCH AVE 11218" "ASIA HARBOR"
"392" "404 COURT STREET 11231" "WORLD PIE"
"393" "404 E 73RD ST 10021" "THE SWEET SHOP NYC"
"394" "404 EAST   14 STREET 10009" "MCDONALD'S"
"395" "404 HENRY STREET 11201" "LIBERTADOR"
"396" "404 HUNTS POINT AVENUE 10474" "FRATELLI'S PIZZA & CAFE"
"397" "404 MALCOLM X BLVD 10037" "ASTOR ROW CAFE"
"398" "404 ROGERS AVE 11225" "BLUE SKY BAKERY"
"399" "404 W 49TH ST 10019" "PAM REAL THAI 49"
"400" "4040 3 AVENUE 10457" "WENDY'S"
"401" "4040 BROADWAY 10032" "MCDONALD'S"
"402" "4041 BROADWAY 10032" "EMPIRE SZECHUAN NOODLE HOUSE"
"403" "4041 EAST TREMONT AVENUE 10465" "MUSCLE MAKER GRILL"
"404" "4042 82ND ST 11373" "SABOR ECUATORIANO BAKERY"
"405" "4042 JUNCTION BLVD 11368" "TROPICANA"
"406" "4042 WEST    8 STREET 10011" "MANSIONS CATERING"
"407" "4046 MAIN ST 11354" "QINGDAO RESTAURANT"
"408" "4049 COLLEGE POINT BOULEVARD 11354" "CATHERINE BAKERY"
